"169,78,66.67,0.000,0.439","0,0,0.00,0.000,0.000","16,7,2828.43,-0.785,0.091","39,18,2236.07,-0.464,0.107","64,32,1115.85,-0.464,0.122","86,47,744.46,-1.107,0.141","99,56,1000.00,-1.571,0.167","115,64,1000.00,0.000,0.197","132,72,1000.00,0.000,0.229","151,77,1000.00,0.000,0.368","169,78,66.67,0.000,0.439"
"-95,145,30.74,-2.356,0.520","0,0,0.00,0.000,0.000","-10,15,1414.21,-2.356,0.121","-27,32,1117.72,-2.678,0.144","-43,53,2828.43,-2.356,0.162","-63,69,1414.21,-2.356,0.176","-77,84,1000.00,-1.571,0.193","-88,98,249.99,-1.571,0.218","-93,111,166.66,-1.571,0.265","-90,129,166.65,-1.571,0.396","-95,145,30.74,-2.356,0.520"
"-46,81,666.71,-1.571,0.209","0,0,0.00,0.000,0.000","-6,7,707.50,-2.356,0.076","-10,17,2000.00,-1.571,0.090","-17,27,999.83,3.142,0.104","-23,36,707.07,-2.356,0.115","-31,47,1000.00,-1.571,0.128","-34,54,1000.00,-1.571,0.138","-38,65,500.22,-1.571,0.154","-42,72,250.02,-1.571,0.172","-46,81,666.71,-1.571,0.209"
"-191,-154,499.92,-1.571,0.563","0,0,0.00,0.000,0.000","-22,-14,1118.12,2.678,0.108","-63,-37,2236.07,2.678,0.127","-104,-57,2236.07,2.678,0.144","-142,-81,3161.75,2.820,0.162","-168,-97,2233.57,2.678,0.179","-183,-117,1000.00,1.571,0.224","-190,-130,200.04,1.571,0.275","-205,-146,282.85,2.356,0.326","-191,-154,499.92,-1.571,0.563"
"-58,91,99.99,-1.571,0.376","0,0,0.00,0.000,0.000","-9,7,1414.21,-2.356,0.093","-16,17,1000.00,3.142,0.109","-25,27,999.83,-1.571,0.122","-34,36,499.98,3.142,0.133","-41,47,1000.00,-1.571,0.147","-45,60,353.54,-2.356,0.170","-49,72,1000.00,-1.571,0.194","-53,84,166.68,-1.571,0.305","-58,91,99.99,-1.571,0.376"
"122,177,200.00,-1.571,0.455","0,0,0.00,0.000,0.000","17,13,1000.00,0.000,0.093","37,33,1413.64,-0.785,0.110","60,60,707.07,-0.785,0.127","82,83,2235.16,-0.464,0.148","91,104,1414.21,-0.785,0.171","101,121,666.66,-1.571,0.198","109,141,83.33,-1.571,0.308","116,158,999.83,-1.571,0.391","122,177,200.00,-1.571,0.455"
"-176,-11,35.35,-2.356,0.479","0,0,0.00,0.000,0.000","-20,-1,2000.00,3.142,0.130","-43,-9,1000.31,3.142,0.147","-66,-15,1998.24,3.142,0.162","-86,-16,499.20,3.142,0.180","-103,-18,332.80,3.142,0.203","-122,-16,332.91,3.142,0.235","-141,-14,500.22,3.142,0.277","-159,-12,666.77,3.142,0.320","-176,-11,35.35,-2.356,0.479"
"141,-33,37.04,3.142,0.511","0,0,0.00,0.000,0.000","15,-5,2000.00,0.000,0.161","32,-15,2229.32,0.464,0.176","55,-27,3161.00,0.322,0.190","79,-37,3161.75,0.322,0.202","100,-47,1414.21,0.785,0.215","119,-53,1116.65,0.464,0.231","135,-60,201.94,0.785,0.259","141,-48,499.86,-1.571,0.442","141,-33,37.04,3.142,0.511"
"-42,-84,125.00,1.571,0.276","0,0,0.00,0.000,0.000","-4,-8,1118.52,2.034,0.092","-7,-18,666.77,1.571,0.103","-15,-31,2235.70,2.034,0.111","-22,-42,1118.12,2.034,0.120","-29,-54,2236.07,2.034,0.129","-33,-62,1414.21,2.356,0.137","-38,-69,2236.07,2.034,0.149","-41,-75,1000.00,1.571,0.161","-42,-84,125.00,1.571,0.276"
"141,-77,52.63,1.571,0.368","0,0,0.00,0.000,0.000","14,-7,1413.31,0.785,0.094","30,-17,2000.00,0.000,0.106","50,-28,2236.07,0.464,0.118","71,-38,3162.28,0.322,0.129","90,-49,3162.28,0.322,0.142","112,-55,1000.00,0.000,0.157","124,-60,499.26,1.571,0.179","136,-64,142.87,0.000,0.209","141,-77,52.63,1.571,0.368"
"39,9,74.45,-0.785,0.193","0,0,0.00,0.000,0.000","4,0,333.20,0.000,0.067","8,0,499.02,0.000,0.077","13,0,999.12,0.000,0.083","17,3,1413.31,-0.785,0.087","22,5,746.00,-0.464,0.092","27,5,1000.00,0.000,0.098","31,7,1414.21,-0.785,0.102","35,7,250.36,0.000,0.108","39,9,74.45,-0.785,0.193"
"-60,81,166.55,-1.571,0.398","0,0,0.00,0.000,0.000","-6,11,2236.07,-2.678,0.102","-12,21,1410.95,-2.356,0.116","-18,32,1000.00,-1.571,0.129","-29,43,1412.30,-2.356,0.143","-36,51,1000.00,-1.571,0.155","-44,56,1001.39,-1.571,0.173","-55,62,74.43,-2.356,0.275","-57,70,199.98,-1.571,0.344","-60,81,166.55,-1.571,0.398"
"-138,186,117.67,-1.571,0.417","0,0,0.00,0.000,0.000","-11,18,1000.00,-1.571,0.090","-31,45,3162.28,-1.893,0.109","-58,75,2236.07,-2.034,0.124","-81,98,2824.59,-2.356,0.139","-102,121,705.31,-2.356,0.156","-117,136,998.64,3.142,0.180","-123,153,1001.86,-1.571,0.245","-131,168,1999.67,-1.571,0.290","-138,186,117.67,-1.571,0.417"
"-88,33,71.43,3.142,0.311","0,0,0.00,0.000,0.000","-9,0,999.83,3.142,0.089","-16,5,1000.00,-1.571,0.100","-26,8,1000.00,3.142,0.110","-38,13,2225.62,-2.678,0.120","-50,16,1413.98,-2.356,0.130","-62,21,2236.07,-2.678,0.140","-72,23,499.20,3.142,0.150","-82,28,76.92,3.142,0.178","-88,33,71.43,3.142,0.311"
"24,131,166.77,-1.571,0.337","0,0,0.00,0.000,0.000","5,15,1407.27,-0.785,0.100","10,31,941.53,-0.785,0.114","17,52,3162.28,-1.249,0.128","22,68,999.60,-1.571,0.142","25,83,1000.00,-1.571,0.156","30,96,1407.27,-0.785,0.179","32,109,999.12,-1.571,0.216","32,122,508.22,-1.571,0.254","24,131,166.77,-1.571,0.337"
"140,164,499.80,-1.571,0.372","0,0,0.00,0.000,0.000","20,16,1413.64,-0.785,0.070","44,35,2234.63,-1.107,0.089","69,51,2236.07,-0.464,0.105","92,75,999.83,-1.571,0.124","104,95,1118.92,-1.107,0.146","115,113,1000.00,-1.571,0.175","124,129,470.88,-0.785,0.223","132,148,1002.58,-1.571,0.272","140,164,499.80,-1.571,0.372"
